Recall@5,Recall@10,Recall@25,Recall@50,mAP@5,mAP@10,mAP@25,mAP@50,Aspect_Cardinality,Aspect_Addition,Aspect_Negation,Aspect_Direct Addressing,Aspect_Compare & Change,Aspect_Comparative Statement,Aspect_Statement with Conjunction,Aspect_Spatial Relations & Background,Aspect_Viewpoint,Model,Inference_Step,Scale
44.75,55.25,71.62,80.12,29.7,31.13,33.92,35.08,34.12,32.05,23.88,31.52,28.13,30.04,29.72,32.95,24.28,Flux,2,1.0
45.62,57.5,73.38,81.25,31.23,32.54,35.32,36.46,35.7,33.33,25.51,33.34,29.38,31.44,31.18,34.52,25.86,Flux,2,0.9
46.62,58.5,74.38,82.0,31.79,33.18,35.96,37.1,37.0,33.92,26.12,33.9,30.48,31.81,31.92,35.05,26.67,Flux,2,0.8
47.88,58.88,74.12,82.62,32.53,33.76,36.52,37.66,37.5,34.47,26.94,34.48,30.95,32.31,32.42,35.49,27.5,Flux,2,0.7
48.5,60.38,74.38,83.25,32.63,33.99,36.67,37.82,37.55,34.7,27.29,34.73,31.31,32.83,32.66,35.62,27.69,Flux,2,0.6
48.38,61.25,74.38,83.12,32.5,33.83,36.53,37.67,37.38,34.45,27.45,34.61,31.06,33.01,32.5,35.27,27.56,Flux,2,0.5
49.0,61.38,74.88,83.38,32.62,33.88,36.59,37.71,37.66,34.56,27.34,34.64,31.14,33.1,32.58,35.23,27.73,Flux,2,0.4
48.62,61.5,75.0,83.38,32.71,33.92,36.61,37.71,37.61,34.75,27.5,34.76,31.18,33.25,32.62,35.31,27.84,Flux,2,0.3
48.5,61.38,74.75,83.38,32.68,33.86,36.61,37.69,37.48,34.63,27.51,34.69,31.17,33.19,32.53,35.11,27.78,Flux,2,0.2
48.25,61.38,74.5,83.38,32.71,33.83,36.56,37.66,37.1,34.62,27.34,34.68,31.18,33.09,32.41,34.85,27.95,Flux,2,0.1
48.75,61.12,74.62,83.25,32.75,33.91,36.63,37.7,37.25,34.78,27.69,34.69,31.19,33.42,32.51,35.02,28.07,Flux,2,0.0
44.75,55.25,71.62,80.12,29.7,31.13,33.92,35.08,34.12,32.05,23.88,31.52,28.13,30.04,29.72,32.95,24.28,Flux,1,1.0
45.88,57.63,73.38,81.25,31.27,32.56,35.31,36.45,35.69,33.19,25.72,33.25,29.56,31.23,31.19,34.42,25.97,Flux,1,0.9
46.62,58.75,74.0,81.88,31.86,33.3,36.03,37.16,37.05,33.98,26.18,34.02,30.61,32.04,32.05,35.14,26.85,Flux,1,0.8
47.62,58.75,74.12,82.62,32.4,33.66,36.44,37.57,37.5,34.34,26.87,34.39,30.95,32.41,32.4,35.38,27.48,Flux,1,0.7
48.12,60.12,74.0,83.12,32.61,33.91,36.59,37.72,37.15,34.75,27.16,34.64,31.02,33.02,32.62,35.52,27.52,Flux,1,0.6
48.12,61.25,74.5,83.25,32.56,33.87,36.6,37.7,37.33,34.54,27.57,34.71,30.98,33.2,32.54,35.34,27.58,Flux,1,0.5
48.5,61.25,74.75,83.38,32.65,33.93,36.64,37.76,37.51,34.7,27.52,34.72,31.06,33.33,32.62,35.46,27.87,Flux,1,0.4
48.5,61.25,74.5,83.0,32.78,34.01,36.7,37.81,37.32,34.97,27.81,34.92,31.23,33.49,32.73,35.31,28.12,Flux,1,0.3
48.75,61.25,74.38,83.0,32.73,33.91,36.63,37.73,36.82,34.83,27.3,34.84,31.29,33.29,32.55,35.18,27.9,Flux,1,0.2
49.0,61.12,74.12,83.12,32.78,33.95,36.68,37.76,36.97,34.91,27.59,34.79,31.33,33.19,32.51,35.11,27.57,Flux,1,0.1
48.88,61.12,74.5,83.0,32.65,33.87,36.61,37.69,36.84,34.66,27.61,34.66,31.28,33.0,32.43,34.94,27.71,Flux,1,0.0
49.12,61.38,74.75,83.25,32.71,33.79,36.51,37.6,36.99,34.59,27.45,34.58,31.12,33.26,32.45,34.77,28.02,Flux,4,0.0
48.88,61.12,74.75,83.38,32.72,33.82,36.57,37.67,36.84,34.75,27.22,34.64,31.18,33.39,32.49,34.89,27.81,Flux,4,0.1
48.88,61.38,74.88,83.38,32.7,33.85,36.59,37.67,37.03,34.79,27.57,34.7,31.18,33.41,32.55,35.05,27.88,Flux,4,0.2
48.62,61.25,75.0,83.25,32.75,33.95,36.68,37.76,37.35,34.83,27.35,34.83,31.31,33.21,32.68,35.28,27.9,Flux,4,0.3
48.75,61.12,74.75,83.5,32.61,33.9,36.59,37.72,37.38,34.72,27.28,34.71,31.09,33.13,32.64,35.3,27.76,Flux,4,0.4
48.5,61.0,74.62,83.12,32.49,33.87,36.6,37.72,37.78,34.51,27.28,34.79,31.11,32.96,32.61,35.33,27.79,Flux,4,0.5
48.5,60.62,74.75,83.25,32.55,33.88,36.6,37.69,37.51,34.68,27.15,34.61,31.05,32.65,32.57,35.57,27.43,Flux,4,0.6
47.75,59.0,74.38,82.75,32.42,33.65,36.41,37.55,37.35,34.28,26.87,34.47,30.75,32.33,32.32,35.38,27.09,Flux,4,0.7
46.75,58.75,74.25,82.0,31.79,33.23,35.95,37.09,37.07,33.94,26.3,33.97,30.54,31.86,31.96,35.09,26.81,Flux,4,0.8
45.75,57.63,73.38,81.25,31.21,32.55,35.3,36.45,35.66,33.32,25.54,33.33,29.4,31.41,31.17,34.54,25.84,Flux,4,0.9
44.75,55.25,71.62,80.12,29.7,31.13,33.92,35.08,34.12,32.05,23.88,31.52,28.13,30.04,29.72,32.95,24.28,Flux,4,1.0
